FALLBACK: Unknown VHS.|Good taste.
THE-CARE-BEARS-MEET-THE-LOVABLE-MONSTERS: The Care Bears Meet The Lovable Monsters.|Care Bears meet monsters. Tolerance lesson.
THE-CAT-FROM-OUTER-SPACE: The Cat From Outer Space.|Disney. A cat from space. Jake. Good film.
THE-CD-FILES: The Cd Files.|Technology explanation tape. Very dated now.
THE-CHARGE-OF-THE-MODEL-TS: The Charge Of The Model Ts.|Car comedy. Old cars doing old things.
THE-CHILDRENS-HEROES-OF-THE-BIBLE-THE-STORY-OF-JESUS-PART-1: The Childrens Heroes Of The Bible The Story Of Jesus Part 1.|Bible stories for kids.
THE-COMIC-BOOK-KIDS: The Comic Book Kids.|Kids and comics. Educational probably.
THE-COUNTRY-MOUSE-AND-THE-CITY-MOUSE-ADVENTURES-FRISCO-RUMBLE: The Country Mouse And The City Mouse Adventures Frisco Rumble.|The mice visit San Francisco. Animated.
THE-CROW: The Crow.|Brandon Lee. Transcendent film. Very sad story behind it.
THE-DARK-CRYSTAL: The Dark Crystal.|Jim Henson and Frank Oz. Masterpiece.
THE-DAY-AFTER: The Day After.|1983 TV movie. Nuclear war. Scared a generation.
THE-DEAD-POOL: The Dead Pool.|Last Dirty Harry. Jim Carrey's in it. Interesting film.
THE-DELOS-ADVENTURE: The Delos Adventure.|Never heard of it.
THE-DESERT-TIGERS-MAGNUM-ENTERTAINMENT: The Desert Tigers Magnum Entertainment.|WWII desert action. Magnum release.
THE-DESTROYERS: The Destroyers.|Action. Destruction. The usual.
THE-DEVIL-HUNTER: The Devil Hunter.|Italian exploitation. Jess Franco. Brutal.
THE-DIRT-BIKE-KID: The Dirt Bike Kid.|Kid gets a magic dirt bike. Racing happens.
THE-DOLL-SQUAD: The Doll Squad.|Ted V. Mikels. Female agents. Early exploitation stuff.
THE-EASTER-EGG-ADVENTURE: The Easter Egg Adventure.|Easter cartoon. Eggs on an adventure.
THE-EMERALD-FOREST: The Emerald Forest.|John Boorman. Amazon. Father searches for lost son. Great film.
THE-EMPERORS-NEW-CLOTHES: The Emperors New Clothes.|Classic fairy tale. The naked king.
THE-EXTERMINATOR: The Exterminator.|Robert Ginty. Very dark. More extreme than Death Wish.
THE-FILLING-STATION-MUDPIES-AND-FEATHERS: The Filling Station Mudpies And Feathers.|Kids show. Looks craft-based.
THE-FINAL-TERROR: The Final Terror.|Slasher in the woods. Daryl Hannah early career.
THE-FORGOTTEN-TOYS: The Forgotten Toys.|British animated. Toys that got left behind. Kind of sad.
THE-GARBAGE-PAIL-KIDS-MOVIE: The Garbage Pail Kids Movie.|The toy cards made into a film. Very unpleasant. People ask for it.
THE-GIRL-IN-THE-YELLOW-PYJAMAS: The Girl In The Yellow Pyjamas.|Italian thriller. The ending is something.
THE-GLADIATOR-STARMAKER: The Gladiator Starmaker.|Starmaker label. Gladiator film.
THE-GLOVE: The Glove.|John Saxon. A gloved killer. Crime film.
THE-GOLDMINE: The Goldmine.|Never heard of it.
THE-GREAT-BEAR-SCARE: The Great Bear Scare.|Halloween bear animation. Pretty obscure.
THE-GREAT-ESCAPE: The Great Escape.|Steve McQueen. One of the greatest war films ever made.
THE-GREAT-LAND-OF-SMALL: The Great Land Of Small.|Canadian fairy tale. Underrated.
THE-GREATEST-ADVENTURE-OF-THE-BIBLE-DAVID-AND-GOLIATH: The Greatest Adventure Of The Bible David And Goliath.|Hanna-Barbera Bible stories. The classic one.
THE-GREATEST-ADVENTURE-OF-THE-BIBLE-JONAH: The Greatest Adventure Of The Bible Jonah.|Jonah and the whale. As animated by Hanna-Barbera.
THE-GREATEST-ADVENTURE-OF-THE-BIBLE-THE-CREATION: The Greatest Adventure Of The Bible The Creation.|In the beginning. Animated.
THE-GREATEST-ADVENTURE-OF-THE-BIBLE-THE-EASTER-STORY: The Greatest Adventure Of The Bible The Easter Story.|The Resurrection. Hanna-Barbera style.
THE-GREATEST-ADVENTURE-OF-THE-BIBLE-THE-NATIVITY: The Greatest Adventure Of The Bible The Nativity.|Christmas story. The original one.
THE-GREATEST-ADVENTURE-STORIES-OF-THE-BIBLE-DAVID-AND-GOLIATH: The Greatest Adventure Stories Of The Bible David And Goliath.|Different release of the same story.
THE-HARD-WAY: The Hard Way.|Michael J. Fox as an actor doing research. James Woods doing James Woods things.
THE-HIT: The Hit.|Stephen Frears. Terence Stamp. John Hurt. Tim Roth early career. Perfect crime film.
THE-HOBOKEN-CHICKEN-EMERGENCY: The Hoboken Chicken Emergency.|Daniel Pinkwater. A very large chicken. Educational TV.
THE-HOOTCH-COUNTY-BOYS: The Hootch County Boys.|Seventies redneck stuff.
THE-HULKSTER-HULK-HOGAN: The Hulkster Hulk Hogan.|Hogan documentary. Very motivational.
THE-HUMAN-FACTOR-SYBIL-DANNINGS-ADVENTURE-VIDEO: The Human Factor Sybil Dannings Adventure Video.|Sybil Danning again. The woman is dedicated.
THE-HUMAN-RACE-CLUB-CASEYS-REVENGE: The Human Race Club Caseys Revenge.|Kids against bullies. Earnest stuff.
THE-INCREDIBLE-HULK-RETURNS-INCREDIBLE-HULK-VS-THOR: The Incredible Hulk Returns Incredible Hulk Vs Thor.|TV movie. Bill Bixby. Thor shows up.
THE-INSTRUCTOR: The Instructor.|Karate instructor does instructor things.
THE-JETSONS-NO-SPACE-FOR-SPROCKETS: The Jetsons No Space For Sprockets.|Sprockets. The Jetsons dog needs more space.
THE-JUNGLE-BOOK-MOWGLI-COMES-TO-THE-JUNGLE: The Jungle Book Mowgli Comes To The Jungle.|Not the Disney one. Different version.
THE-JUNGLE-BOOK-SABU: The Jungle Book Sabu.|The 1942 version. Sabu. The real deal.
THE-JUNKMAN: The Junkman.|H.B. Halicki. Car crashes. The guy who made Gone in 60 Seconds. Obsessive.
THE-KEN-PATERA-STORY: The Ken Patera Story.|Ken Patera wrestler biography. Very specific audience.
THE-KID-A-LITTLES-VOLUME-2: The Kid A Littles Volume 2.|Kid stories. Volume two.
THE-KING-BOXERS: The King Boxers.|Kung fu. Boxer becomes king. Or king becomes boxer.
THE-LAST-CONTRACT-JACK-PALANCE: The Last Contract Jack Palance.|Jack Palance as a hitman. He's perfect for it.
THE-LAST-DINOSAUR: The Last Dinosaur.|Japanese-American co-production. Tyrannosaurus in a volcanic crater.
THE-LAST-HUNTER: The Last Hunter.|Italian Vietnam film. Antonio Margheriti. Hunter in a jungle.
THE-LAST-MATCH: The Last Match.|Sports drama. A final match.
THE-LAST-UNICORN: The Last Unicorn.|Animated. Mia Farrow. Rankin-Bass at their best.
THE-LAST-WAR: The Last War.|Japanese nuclear war film. Heavy stuff.
THE-LAST-WARRIOR: The Last Warrior.|Post-apocalypse warrior. The last one.
THE-LAW-OF-THE-VIOLENCE: The Law Of The Violence.|Italian crime. Violence as the only law.
THE-LAWLESS-LAND: The Lawless Land.|Post-apocalypse road film.
THE-LEGEND-OF-BRUCE-LEE: The Legend Of Bruce Lee.|Biographical film. Bruce Le as Bruce Lee. Confusing.
THE-LEGEND-OF-THE-HAWAIIAN-SLAMMERS: The Legend Of The Hawaiian Slammers.|Hawaiian martial arts kids thing.
THE-LEGEND-OF-THE-ROLLER-BLADE-SEVEN-FRANK-STALLONE-JOE-ESTEVEZ-KAREN-BLACK: The Legend Of The Roller Blade Seven Frank Stallone Joe Estevez Karen Black.|Post-apocalypse rollerblades. Frank Stallone. The B-movie dream team.
THE-LEGEND-OF-YOUNG-ROBIN-HOOD: The Legend Of Young Robin Hood.|Animated Robin Hood. Origin story.
THE-LIGHT-AT-THE-EDGE-OF-THE-WORLD: The Light At The Edge Of The World.|Kirk Douglas. Jules Verne. Lighthouse. Pirates.
THE-LITTLE-DRUMMER-BOY: The Little Drummer Boy.|Classic Christmas special. The one with the lamb.
THE-LITTLE-MERMAID-GOODTIMES-VIDEO: The Little Mermaid Goodtimes Video.|Goodtimes knockoff Little Mermaid. Not Disney.
THE-LONE-NINJA-WARRIOR: The Lone Ninja Warrior.|One ninja. A warrior. On his own.
THE-LONE-STAR-KID-WONDERWORKS-FAMILY-MOVIE: The Lone Star Kid Wonderworks Family Movie.|Wonderworks. Texas kid. Educational cable.
THE-MAGIC-OF-CHRISTMAS-AT-WALT-DISNEY-WORLD: The Magic Of Christmas At Walt Disney World.|Christmas at the parks. Theme park promo content.
THE-MAGIC-SCHOOL-BUS-INSIDE-THE-HAUNTED-HOUSE: The Magic School Bus Inside The Haunted House.|Ms. Frizzle inside a haunted house. Spooky episode.
THE-MAGIC-WORLD-OF-ART: The Magic World Of Art.|Art instruction for kids.
THE-MAGNIFICENT-HUSTLE-GEORGE-HAMILTON-ALBERT-SALMI: The Magnificent Hustle George Hamilton Albert Salmi.|George Hamilton conning people. That's his thing.
THE-MAKING-OF-TEENAGE-MUTANT-NINJA-TURTLES-BEHIND-THE-SCENES: The Making Of Teenage Mutant Ninja Turtles Behind The Scenes.|Behind the scenes of the 1990 movie. Pretty good.
THE-MAKING-OF-TERMINATOR-2-JUDGMENT-DAY: The Making Of Terminator 2 Judgment Day.|Behind the scenes on T2. The effects were groundbreaking.
THE-MAN-OF-BRONZE-DOC-SAVAGE: The Man Of Bronze Doc Savage.|Same Doc Savage film. Different label.
THE-MASK-ANIMATED-SERIES: The Mask Animated Series.|Jim Carrey's character as a cartoon. Works really well actually.
THE-MASK-ANIMATED-SERIES-BABYS-WILD-RIDE: The Mask Animated Series Babys Wild Ride.|Baby episode. Wild as described.
THE-MASK-ANIMATED-SERIES-S-S-S-SOMEBODY-STOP-ME: The Mask Animated Series S S S Somebody Stop Me.|Classic Mask catchphrase episode.
THE-MIGHTY-PAWNS-WONDERWORKS-FAMILY-MOVIE-PAUL-WINFIELD-ALFONSO-RIBEIRO: The Mighty Pawns Wonderworks Family Movie Paul Winfield Alfonso Ribeiro.|Chess in the inner city. Carlton from Fresh Prince stars.
THE-MONSTER-SQUAD: The Monster Squad.|Classic. Wolfman's got nards.
THE-MUPPET-BABIES-TIME-TO-PLAY: The Muppet Babies Time To Play.|Baby Muppets imagine things. Great show.
THE-NEW-KIDS: The New Kids.|James Spader as a bully. Early career.
THE-NORFIN-ADVENTURES-THE-GREAT-EGG-ROBBERY: The Norfin Adventures The Great Egg Robbery.|Troll dolls animated. Very niche.
THE-ONLY-WAY-HOME: The Only Way Home.|Never heard of it.
THE-ORIGIN-OF-CAPTAIN-AMERICA: The Origin Of Captain America.|Old Republic serial. The original one. Historical.
THE-PEE-WEE-HERMAN-SHOW: The Pee Wee Herman Show.|The live show that became the TV show. Great energy.
THE-PERFECT-KILLER: The Perfect Killer.|Professional killer. Perfecting his craft.
THE-PIRATES-OF-DARK-WATER-ANDORUS: The Pirates Of Dark Water Andorus.|Great animated show. Underrated.
THE-PIRATES-OF-DARK-WATER-BEAST-AND-THE-BELL: The Pirates Of Dark Water Beast And The Bell.|More Dark Water. Grim and good.
THE-PIRATES-OF-DARK-WATER-THE-SAGA-BEGINS: The Pirates Of Dark Water The Saga Begins.|Start here. The saga begins. As stated.
THE-POSTMAN-ALWAYS-RINGS-TWICE: The Postman Always Rings Twice.|Jack Nicholson. Jessica Lange. Noir remake. Heavy.
THE-PRINCESS-BRIDE: The Princess Bride.|As you wish.
THE-PUZZLE-PLACE-ROCK-DREAMS: The Puzzle Place Rock Dreams.|Kids show. Diverse puppet cast. PBS adjacent.
THE-RAVAGERS: The Ravagers.|Post-apocalypse. Richard Harris. Pretty grim.
THE-REAL-GHOSTBUSTERS-PLAY-THEM-RAGTIME-BOOS: The Real Ghostbusters Play Them Ragtime Boos.|Real Ghostbusters. Piano playing ghosts.
THE-RETURN-OF-CAPTAIN-INVINCIBLE: The Return Of Captain Invincible.|Alan Arkin as a drunk superhero. Christopher Lee as the villain. Australia.
THE-RETURN-OF-GUMBY: The Return Of Gumby.|Gumby's back. Clay as ever.
THE-RUNNING-MAN: The Running Man.|Schwarzenegger in a game show death match. Richard Dawson is the villain. Perfect.
THE-SECRET-LIVES-OF-WALDO-KITTY: The Secret Lives Of Waldo Kitty.|Live action cat imagines being other animals. Seventies.
THE-SEVENTH-BROTHER: The Seventh Brother.|Hungarian animated. Rabbit brothers. Surprisingly good.
THE-SEWERS-OF-PARADISE: The Sewers Of Paradise.|French crime. Real events basis. Strange story.
THE-SMUGGLER: The Smuggler.|Telly Savalas. Italian crime. Who loves ya baby.
THE-STINGIEST-MAN-IN-TOWN: The Stingiest Man In Town.|Animated Christmas Carol. Different adaptation.
THE-STORY-OF-DANIEL-AND-THE-LIONS-DEN-THE-BEGINNERS-BIBLE: The Story Of Daniel And The Lions Den The Beginners Bible.|Beginners Bible. Daniel survives the lions.
THE-STREET-FIGHTER: The Street Fighter.|Sonny Chiba. The original. Brutal.
THE-SUPER-MARIO-BROS-SUPER-SHOW-PRINCESS-I-SHRUNK-THE-MARIO: The Super Mario Bros Super Show Princess I Shrunk The Mario.|Mario gets shrunk. Captain Lou Albano hosts.
THE-SWAMP-CRITTERS-OF-LOST-LAGOON-PHATRAT-AND-THE-MANATEES: The Swamp Critters Of Lost Lagoon Phatrat And The Manatees.|Swamp animals cartoon. Louisiana setting.
THE-SWORD-AND-THE-SORCERER: The Sword And The Sorcerer.|Cheesy fantasy. Three-bladed sword. Classic.
THE-SWORD-IN-THE-STONE: The Sword In The Stone.|Disney Arthurian. Merlin at his best.
THE-TALE-OF-THE-BUNNY-PICNIC: The Tale Of The Bunny Picnic.|Jim Henson. Muppet bunnies. Easter special.
THE-TANGERINE-BEAR: The Tangerine Bear.|Christmas special. Tangerine colored bear. Sweet.
THE-TERRORISTS: The Terrorists.|Thriller. Sean Connery. Hostage situation.
THE-THREE-BEARS: The Three Bears.|Classic fairy tale. Goldilocks optional.
THE-THREE-LIVES-OF-THOMASINA: The Three Lives Of Thomasina.|Disney cat drama. Peter Sellers era. Underrated.
THE-TIME-GUARDIAN-ORION-HOME-VIDEO: The Time Guardian Orion Home Video.|Australian sci-fi. Carrie Fisher. Tom Burlinson.
THE-TOMB: The Tomb.|Fred Olen Ray. Egyptian curse. Low budget fun.
THE-TRAP: The Trap.|Oliver Reed. Rita Tushingham. Canadian wilderness. Very good actually.
THE-ULTIMATE-THRILL: The Ultimate Thrill.|Ski chase thriller. Barbara Hershey.
THE-VERY-HUNGRY-CATERPILLAR-AND-OTHER-STORIES-DISNEY-PRESENTS: The Very Hungry Caterpillar And Other Stories Disney Presents.|Eric Carle classic. Timeless.
THE-VINDICATOR-KEY-VIDEO: The Vindicator Key Video.|Canadian Robocop knockoff. Pretty entertaining.
THE-WACKY-ADVENTURES-OF-RONALD-MCDONALD-BIRTHDAY-WORLD: The Wacky Adventures Of Ronald Mcdonald Birthday World.|McDonald's cartoon. Birthday episode.
THE-WACKY-ADVENTURES-OF-RONALD-MCDONALD-THE-LEGEND-OF-GRIMACE-ISLAND: The Wacky Adventures Of Ronald Mcdonald The Legend Of Grimace Island.|Grimace's backstory. Dark lore.
THE-WACKY-ADVENTURES-OF-RONALD-MCDONALD-THE-VISITORS-FROM-OUTER-SPACE: The Wacky Adventures Of Ronald Mcdonald The Visitors From Outer Space.|Ronald vs aliens. Sure.
THE-WARRIORS-OF-WORLD-WAR-2: The Warriors Of World War 2.|WWII documentary stuff.
THE-WILD-PAIR: The Wild Pair.|Beau Bridges. Bubba Smith. Buddy cop. Odd combo.
THE-WITCHES: The Witches.|Anjelica Huston. Nicolas Roeg. Roald Dahl. Scary for kids. Good.
THE-WIZARD: The Wizard.|Fred Savage. Nintendo Power Glove. This film sold a lot of games.
THE-WIZARD-JAPAN: The Wizard Japan.|Japanese release of the same film.
THE-WIZARD-OF-OZ-THE-ANIMATED-SERIES-FEARLESS: The Wizard Of Oz The Animated Series Fearless.|Animated Oz. Fearless episode.
THE-WIZARD-OF-OZ-THE-ANIMATED-SERIES-THE-RESCUE-OF-OZ: The Wizard Of Oz The Animated Series The Rescue Of Oz.|More animated Oz. Someone needs rescuing.
THE-WORLD-ACCORDING-TO-GUMBY: The World According To Gumby.|Gumby's worldview. In clay.
THE-WORLD-OF-TEDDY-RUXPIN-WIN-WON-FOR-THE-TWIPPER: The World Of Teddy Ruxpin Win Won For The Twipper.|Teddy Ruxpin. The talking bear. Goes on adventures.
THE-WORST-WITCH: The Worst Witch.|Diana Rigg. A young witch at school. Before Harry Potter.
THE-WWF-WRESTLING-CLASSIC: The Wwf Wrestling Classic.|Classic WWF matches compilation.
THE-ZERO-BOYS-OMEGA-ENTERTAINMENT: The Zero Boys Omega Entertainment.|Survivalists hunt the hunters. Pretty solid.
THIS-IS-THE-ARMY: This Is The Army.|Irving Berlin. Ronald Reagan stars. WWII musical.
THRASHIN: Thrashin.|Josh Brolin. Skateboarding Romeo and Juliet. Basically.
THREE+DAYS+TO+A+KILL: Three+Days+To+A+Kill.|Three days. One kill. The pressure is on.
THRILL-KILL: Thrill Kill.|Thriller. Someone gets killed thrillingly.
THUNDARR-THE-BARBARIAN-SECRET-OF-THE-BLACK-PEARL: Thundarr The Barbarian Secret Of The Black Pearl.|Great cartoon. Post-apocalypse barbarian.
THUNDERGROUND: Thunderground.|Never heard of that one.
TIGER-JOE: Tiger Joe.|Italian adventure. Tiger Joe does things.
TIGER-JOE-JAPAN: Tiger Joe Japan.|Same film. Japanese release.
TIME-TO-KILL: Time To Kill.|Definitely not a comedy.
TIME-WARS: Time Wars.|War in time. Or time in war.
TINY-TOON-FIENDISHLY-FUNNY-ADVENTURES: Tiny Toon Fiendishly Funny Adventures.|Tiny Toons. Spielberg produced. Very good show.
TINY-TOTS-BIBLE-STORY-VIDEO: Tiny Tots Bible Story Video.|Bible stories for tiny tots.
TIP-TOP-WITH-SUZY-PRUDDEN: Tip Top With Suzy Prudden.|Exercise video. For kids.
TO-CATCH-A-KING: To Catch A King.|Thriller. Robert Wagner. Based on the novel.
TOBY-AND-HIS-VIDEO-PALS-TIME-FOR-A-PARTY: Toby And His Video Pals Time For A Party.|Kids party tape. Toby has video pals.
TODAYS-SPECIAL-VOLUME-1: Todays Special Volume 1.|Canadian kids show. The mannequin comes to life.
TOM-SAWYER-AND-FRIENDS: Tom Sawyer And Friends.|Mark Twain animated. Classic American literature.
TOO-SMART-FOR-STRANGERS-WITH-WINNIE-THE-POO: Too Smart For Strangers With Winnie The Poo.|Safety tape with Pooh. Stranger danger.
TOPLINE: Topline.|Franco Nero. Alien in South America. Strange film.
TORN-ALLEGIANCE: Torn Allegiance.|South African drama. Apartheid context.
TORNADO: Tornado.|Never heard of that one specifically.
TORNADO-LIGHTNING-VIDEO: Tornado Lightning Video.|Lightning Video release of Tornado. Probably.
TOTAL-RECALL: Total Recall.|Verhoeven and Schwarzenegger again. Two weeks.
TOUGH-AND-DEADLY-RODDY-PIPER-BILLY-BLANKS: Tough And Deadly Roddy Piper Billy Blanks.|Roddy Piper and Billy Blanks team up. They work well together.
TOUGH-TO-KILL: Tough To Kill.|It is tough. But they try.
TOYS-IN-PLAYLAND: Toys In Playland.|Old Toys cartoon. Rankin-Bass probably.
TRACI-LORDS-IS-NOT-OF-THIS-WORLD: Traci Lords Is Not Of This World.|Traci Lords in sci-fi. Post-career-change film.
TRAINED-TO-KILL: Trained To Kill.|The training paid off clearly.
TRANSFORMERS: Transformers.|The 1986 movie. Optimus Prime dies in the first act. I still haven't forgiven them.
TRANSFORMERS-MEGATRONS-MASTER-PLAN: Transformers Megatrons Master Plan.|Two-part episode. Megatron plans big.
TREASURE-OF-BRUCE-LEE-AND-BIG-RASCAL-DOUBLE-FEATURE: Treasure Of Bruce Lee And Big Rascal Double Feature.|Two knockoff Bruce Lee films for the price of one.
TROUBLE-IN-MIND: Trouble In Mind.|Alan Rudolph. Kris Kristofferson. Neo-noir. Underrated.
TRUCK-TURNER: Truck Turner.|Isaac Hayes as a bounty hunter. Blaxploitation essential.
TUBBY-THE-TUBA: Tubby The Tuba.|Animated. Tubby wants to play a melody. Classic.
TURNING-THE-POWER-ON-ESPN-HOME-VIDEO: Turning The Power On Espn Home Video.|ESPN sports compilation.
TWICE-DEAD: Twice Dead.|Ghost haunts teens in a house. Pretty fun.
TYSON-VS-SPINKS-ONCE-AND-FOR-ALL: Tyson Vs Spinks Once And For All.|Ninety-one seconds. Historic fight.
ULTIMATE-WARRIOR-WWF: Ultimate Warrior Wwf.|Ultimate Warrior career highlights. Intense.
ULTRA-MAN: Ultra Man.|The original Japanese one. Tsuburaya Productions.
UNCOMMON-VALOR: Uncommon Valor.|Gene Hackman. POW rescue. Very good.
UNCOMMON-VALOR-PARAMOUNT-HOME-VIDEO: Uncommon Valor Paramount Home Video.|Same film. Paramount label.
UP-THE-CREEK: Up The Creek.|Whitewater rafting comedy. Tim Matheson.
VACATION-IN-HELL: Vacation In Hell.|That sounds like my last trip.
VENGEANCE-IS-MINE-ERNEST-BORGNINE: Vengeance Is Mine Ernest Borgnine.|Borgnine gets his revenge. The man earned it.
VIDEO-BABY: Video Baby.|Baby on video. Like a screensaver for parents.
VIOLENT-PROTECTION: Violent Protection.|Protection. But violent. Never heard of it.
VISIONARIES-KNIGHTS-OF-THE-MAGICAL-LIGHT-FERYL-STEPS-OUT: Visionaries Knights Of The Magical Light Feryl Steps Out.|Visionaries cartoon. Holograms on armor. Short-lived but cool.
WAR-DOG: War Dog.|Cold War thriller. War dog involved. Sounds intense.
WAR-GAMES: War Games.|WarGames. Matthew Broderick. Almost started World War Three with a computer.
WAR-GAMES-BASH-87: War Games Bash 87.|Wrestling show. War Games match. Four walls, two rings.
WARRIOR-OF-THE-LOST-WORLD: Warrior Of The Lost World.|Italian Mad Max knockoff. Donald Pleasence. Robert Ginty.
WATER-BABIES: Water Babies.|British animated. Victorian fantasy. Strange and lovely.
WE-WISH-YOU-A-TURTLE-CHRISTMAS: We Wish You A Turtle Christmas.|The TMNT Christmas special. Pizza and carols.
WEAPONS-OF-DEATH: Weapons Of Death.|The weapons do what they're named after.
WEE-SING-THE-BEST-CHRISTMAS-EVER: Wee Sing The Best Christmas Ever.|Wee Sing Christmas. Kids love Wee Sing.
WEE-SING-TOGETHER-A-MAGICAL-MUSICAL: Wee Sing Together A Magical Musical.|Wee Sing musical adventure.
WET-GOLD: Wet Gold.|Brooke Shields. Treasure diving. Decent.
WHEELS-OF-TERROR: Wheels Of Terror.|A car terrorizes a town. With wheels.
WHITE-FIRE-WITH-ROBERT-GINTY: White Fire With Robert Ginty.|Robert Ginty and diamonds in Turkey. Wild film.
WHITE-LINE-FEVER: White Line Fever.|Jan-Michael Vincent as a trucker fighting corruption.
WHITE-MISCHIEF: White Mischief.|British colonial Kenya murder mystery. Greta Scacchi.
WHY-VIETNAM: Why Vietnam.|Anti-war documentary. Heavy.
WILD-THING: Wild Thing.|Street kid raised wild in the city. Tarzan but New York.
WILD-WEST-COWBOYS-OF-MOO-MESA-DANCES-WITH-BULLS: Wild West Cowboys Of Moo Mesa Dances With Bulls.|Cowboy cows. Saturday morning stuff.
WILD-WHEELS: Wild Wheels.|Biker action. Wheels that are wild.
WILLOW: Willow.|Ron Howard. Val Kilmer. Warwick Davis. Underrated fantasy.
WISH-KID-A-MATTER-OF-PRINCIPAL: Wish Kid A Matter Of Principal.|Wish Kid cartoon. A wish about school.
WISH-KID-TOP-GUN-WILL-TRAVEL: Wish Kid Top Gun Will Travel.|Wish Kid wants to be Top Gun apparently.
WISHBONE-FRANKENBONE: Wishbone Frankenbone.|Wishbone as Frankenstein. Good show. Lots of literature.
WISHBONE-HOMER-SWEET-HOMER: Wishbone Homer Sweet Homer.|Wishbone does the Odyssey. The little dog does the Odyssey.
WISHBONE-THE-SLOBBERY-HOUND: Wishbone The Slobbery Hound.|Wishbone does Sherlock Holmes. Elementary my dear Wishbone.
WIZARDS: Wizards.|Ralph Bakshi. Animated fantasy. Dark and strange.
WORLDS-GREATEST-TRAIN-RIDE-VIDEOS-CANADA: Worlds Greatest Train Ride Videos Canada.|Train trip through Canada. Very relaxing probably.
WRAITH: Wraith.|Charlie Sheen. Ghost car. People get run over. Pretty fun.
WRESTLEMANIA-1: Wrestlemania 1.|Where it all began. Cyndi Lauper and everything.
WRESTLEMANIA-3: Wrestlemania 3.|Hogan versus Andre. Pontiac Silverdome. Ninety-three thousand people.
WRESTLEMANIA-4: Wrestlemania 4.|The tournament. Macho Man wins it all.
WRESTLEMANIA-5: Wrestlemania 5.|Hogan versus Macho Man. The Mega Powers explode.
WRESTLEMANIA-6: Wrestlemania 6.|Warrior beats Hogan. The title changes hands clean.
WRESTLEMANIA-8: Wrestlemania 8.|Bret Hart. Randy Savage. Ric Flair. Loaded card.
WU-TANG-NING: Wu Tang Ning.|Wu Tang clan. The original martial arts kind.
WWF-1992-BATTLE-OF-THE-SUPERSTARS: Wwf 1992 Battle Of The Superstars.|1992 WWF highlights. Good year for wrestling.
WWF-ACTION-ZONE: Wwf Action Zone.|The Saturday morning show. Action zone indeed.
WWF-CONFIRMED-HITS: Wwf Confirmed Hits.|WWF music video comp. Confirmed hits.
WWF-DEMOLITION: Wwf Demolition.|Demolition. Ax and Smash. Great tag team.
WWF-GLOBAL-WARFARE: Wwf Global Warfare.|International wrestlers. Global indeed.
WWF-RAW-STRATEGIES-AND-SECRETS-THE-VIDEO-GUIDE: Wwf Raw Strategies And Secrets The Video Guide.|Guide to playing the RAW game.
WWF-ROYAL-RUMBLE-1991: Wwf Royal Rumble 1991.|Hogan wins it. Thirty people in a ring. Chaos.
WWF-SMACK-EM-WHACK-EM: Wwf Smack Em Whack Em.|WWF game guide. Smacking and whacking.
WWF-SUMMER-SLAM-GREATEST-HITS: Wwf Summer Slam Greatest Hits.|SummerSlam highlights. The hottest event of the summer.
WWF-SUPERSTARS-THE-MUSIC-VIDEO: Wwf Superstars The Music Video.|WWF music videos. Real Good Friends.
WWF-WRESTLEMANIA-2: Wwf Wrestlemania 2.|Three venues. Three matches. Refrigerator Perry was there.
WWF-WRESTLINGS-BIGGEST-SMALLEST-STRANGEST-STRONGEST: Wwf Wrestlings Biggest Smallest Strangest Strongest.|Guinness Book but for wrestling.
ZAPPERS-BLADE-OF-VENGEANCE: Zappers Blade Of Vengeance.|Laser zapper with a blade. And vengeance.
ZIGGYS-GIFT: Ziggys Gift.|Ziggy. The cartoon character. Christmas special. Surprisingly touching.
